Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.38747276458,175.334901401951,168.770831965808,163.293105588603,164.569153093089,145.073177713897,139.045679371545,134.302158273381,133.969043670536,133.642516921534,146.500479386385,143.963133640553,142.960905789361,145.889295889296,140.062597809077,138.607151203552,151.599474145486,147.674674895305,163.482216708023,162.565656565657,147.665518561041,142.135995479375,144.964357521477,,,
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,11.157026581176,12.5506095641626,14.2276444262674,26.0355114281704,26.9444479475307,32.6710826152849,27.1428573129252,20.9827354616946,24.110033071763,25.0788642331499,21.7281100678648,27.0631374536424,32.8690810352185,27.6923087928995,28.8659801551706,26.9483576711852,28.0869566604915,26.4860798295929,24.7138040330125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6634257108719,52.5796000411513,57.6551722063408,60.7821384023737,55.6286122752478,49.9490368064862,49.6254079538462,43.7104097857659,45.1141950449202,49.235892379186,45.6211771200758,
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.547109454858,150.335794690093,105.301742600149,103.901226814948,103.579924362095,106.590962129525,94.6251593320477,108.060067893978,121.36470790564,122.446142344145,104.123629959119,99.9825078537909,91.8000986064676,86.8119307833605,79.3329275092697,62.8885207850511,53.3701552785467,52.256821448818,66.3780119350296,,
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,47.4940925041872,46.1004662837047,44.8105616083383,40.4106676033234,38.1156830212927,35.9348239721958,31.6373048780561,32.159563916938,36.89787073527,40.066086463479,39.4369634031142,36.0705200632829,108.785472241159,80.518332770413,53.1025847356112,47.6105948729712,44.895427261101,45.4255233483672,48.1374835354003,51.0110717547709,63.4540743986735,66.4910464537142,68.5250379172273,67.0206085093238,67.047228208342,70.8723282677903,74.2670817296107,83.2021007868277,77.4517479127996,75.09481921411,76.5433546212188,81.2185647062601,76.5102010189022,75.8737335169854,75.4078655927631,71.8010296711194,74.8098567265253,78.194248641577,76.8010468916574,76.7282995551779,
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,58.8186777787206,59.1804825395015,61.962876402714,80.9470267066454,73.7999876253973,81.7322237452679,76.0238143485684,80.2159568863615,77.744777673164,80.0985672528262,84.7136623236407,86.3340356906776,81.9068654230081,74.3106479690567,70.8955830867453,63.9285241332698,56.4124738211816,58.8262701706732,60.55335379676,65.8014124480221,66.034769204926,68.9725039712782,64.1746742768665,60.3864161971343,58.8535386295127,61.6935509799601,61.2600381358247,68.1154343791166,66.2300612244234,66.2853854766201,70.6659433085858,72.3199642538499,73.6570578528976,79.9332603323637,85.0569673199026,89.1022968795191,89.6255313578002,93.5094844478493,97.9345691989768,89.9146996260054,88.9681672856086,92.2411289503638,93.9749790918557,94.3021651287847,93.2754603071856,88.931470699552,82.66308178088,86.0788026083903,86.2611954484919,87.7736391383546,
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8645799289427,93.0716588147781,102.300169490783,116.622612523831,119.552871642254,119.470669577786,136.798152865771,148.513544025723,153.461944358373,143.877531844201,151.665953575846,164.249347960724,165.275953290011,168.492307775439,175.221307567909,176.747648042171,175.004350438256,159.728773540957,160.936092884595,
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,15.2080960873797,11.9898923109727,14.0755256495637,15.7809062353749,11.1274296795488,10.3764574099485,11.6426054171411,12.492660372918,11.8881648852942,12.7974266330598,10.3374440809233,12.6151889155439,14.0356431972715,13.3221685115576,13.1915798576321,11.8027242947756,15.0968846246649,16.9422865680472,14.3237963724531,12.8406846410014,11.5456724604615,14.2929774789475,15.6114860999886,14.9876701068591,12.3463814292217,18.009425070688,14.4860327921395,15.448969882952,15.743458608705,19.6377977018838,14.9908589999441,13.7530541588892,14.730980586353,16.2231514477839,18.1343458669981,19.7714230903755,21.5064684057215,23.3361788437439,23.3500279730689,21.3827449624898,22.6224447777343,21.8522554515453,41.7527243585642,40.6447480311085,40.692646108947,40.5512709706238,40.4334798719151,40.945170618571,40.4026733790382,34.0571269054879,34.9710132635696,35.2061549999644,30.5265423717108,29.3339290021037,28.4067936452275,22.4862260889792,26.0938878488799,25.2233319634767,30.7004460241825,32.3936659633702,
Armenia,ARM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.3357185450209,100.865855188857,101.076759405526,107.973146280234,112.429364602262,86.1148570667578,79.2295601199241,78.5477450545048,71.8424518815414,70.5604791440404,72.2333302273367,69.8642663925336,73.984501843231,80.0513676022426,73.0706339919371,70.1397385835334,61.0301379818566,56.9750470853147,54.5423279613666,57.2742357441995,64.642975973633,69.4355736620453,75.9667433930304,76.5561957927212,75.6116848388122,71.5932653468932,75.9178800280663,86.8301413895134,91.114529295092,91.4322855663883,
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.533073929961,205.692599620493,200.5859375,221.073558648111,227.620967741935,216.538461538462,247.779751332149,160.176991150442,156.423611111111,155.749128919861,174.689440993789,171.294851794072,172.118380062305,164.145234493192,162.883435582822,162.458471760797,168.238993710692,,
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,,,,,,,,,,,,,,,,,,85.6332166076156,101.915833065085,132.967334810802,128.948074192257,142.106417637802,146.839641136599,115.974521767057,133.021881885389,140.65912372213,171.930627179148,157.226913868377,137.80078694211,143.540480568302,149.272131820549,151.074063796822,158.973000516075,156.544805710029,145.629808203147,145.602178284139,137.264769638368,135.403263117099,131.319408132489,130.795256680996,116.281789378355,116.380689775623,110.764539900541,116.56601895806,122.481460178376,120.133080113112,118.113791647384,115.423207450464,115.283599454991,103.581582371424,104.706518479827,103.646717367383,103.780839295525,107.185710568637,106.689427077777,95.2057205872981,90.1854320172838,,,,
