1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
,,,,,,,16.078431372549,18.6486486486487,12.129840546697,3.96140172676485,7.96287249633609,5.88235294117648,7.30769230769231,8.20390282755874,2.54714390872286,1.18578817164948,7.04687397800629,1.99198585247487,1.23804210577066,7.61658819396467,-2.97125672435799,-3.2736464106481,1.97554726158631,7.91156346581525,1.21434934877203,1.05060752796375,1.80022597148812,-0.090708046322277,-10.5197485358487,-3.68502938723299,3.44605475040258,-1.36986301369863,4.19823232323233,0.299999999999983,5.70000087589398,2.09999958566985,1.9999991044233,,
,,,,,,,,,,,,,,,,,,,,,,,8.83227780370231,1.41411798021916,11.2297148388595,5.35740324754602,13.8263195390595,3.92498382284523,21.390528405312,14.3624414596815,0.426354792856571,12.7522870825788,5.60074466131904,2.72454336495028,1.45131465458005,2.2603142045464,2.66529204636834,1.84008854330573,2.90122896413847
,-4.40000121936168,0,4.20000142834165,6.00000216437297,3.49999948953466,2.90000174265121,4.08274863648847,6.12889047620018,0.041621461844258,-3.45009868360484,0.991359301460875,-5.8382807331314,-23.9834174420578,1.33936343647989,15.0000000288634,13.5443697551026,7.27427735460373,4.69114645093549,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.9528617687103,15.0289153175302,11.5476831781633,14.0100182426328,11.1661383303613,0.858712615098312,4.85919754128949,3.47198137570336,8.54214733662195,4.95459047039728,4.82262555122684,0.943575613388759,-2.58009724323077,-0.147207419438828,-2.00357675383141,-0.869393785304467
,5.7456352920068,2.9485968015687,1.104938261827,-1.25159664469855,1.78064395977269,5.63724317825185,-0.787842655012938,-1.42003965482247,9.83654897047623,-9.57564016948645,-28.002141656046,-7.18711091636951,9.55941169434753,8.30286659112861,13.3223333200803,9.09999944360231,-10.9199840851035,8.83008770869769,12.8898967331889,6.95003613422918,8.29007002725659,4.53996064044719,5.53005077793323,5.5099986931984,5.52991480926491,5.90008395738064,5.97998203625438,7.49996956029166,3.35006652793865,3.70689230100685,2.54532184477017,1.41752599216282,1.00198715014967,1.77448678495496,2.21875223166761,3.31480475341897,3.80219748796804,4.0713012947902,2.21406315283737
2.20872760693067,-0.132474511474285,1.24646111342557,1.7701183169326,1.78468669356731,2.32143303219976,3.25332177830622,5.54712217053779,5.09432620323258,4.82703424406891,3.78138758962959,2.54600287187591,0.929211956288995,-1.0314840109577,2.38318769098808,2.75749918732981,4.64974014875021,9.06767219910549,3.19479029605816,4.09908083663429,3.52836129711103,8.11935772169949,4.54636221364653,8.69420371612468,8.13567633837351,5.39779598500422,4.80868869916921,1.55318814103222,-5.55918636850581,-5.30284654348291,-1.97495799965346,-0.008069753411391,-4.97444371853503,-3.54759651549344,2.50446552114518,1.43414039522716,3.70967806978986,0.346071889630295,1.58876549046354,1.84923825726078
9.13764502480899,2.91040657690967,-9.07980259367304,-6.84099490387767,1.35640028163742,-2.29437198610646,4.70964162155123,-0.495683715146455,5.60264785580628,2.3575643735775,13.1115740697629,1.51430118275435,4.98215811973901,3.27095722748187,3.19833431508032,2.75456058611314,4.59631196067049,4.23993009829829,5.26614984825568,1.78994956452179,5.45976703336868,1.57113333419041,0.583700726422066,5.3316437587734,9.32155715015112,5.74979204376243,6.50186983027885,4.55228104218928,5.80879130388399,0.425263876221834,4.64212941140521,3.81627506869742,6.59012056047933,3.18426649425578,2.44740977685424,3.17354738841917,3.42176468215062,1.13716880993037,2.08983658402057,1.47843968259384
23.874774910498,4.65917667406515,-6.71931618570784,-4.7458206999658,4.0169512795941,-3.59447651736838,-14.9581365645327,3.38198170900878,-2.61890770383279,12.33789128226,18.3279855336405,0.860081945778219,3.3449448618412,1.26119095149724,6.89614855052668,6.68788646362944,5.79840406132159,8.1903986407705,0.291994348685435,2.90221364464598,10.8527042125986,1.3990850303263,2.43345681036156,8.80054081486432,9.56643663716162,4.85514119630905,9.83731977348489,3.1843901736724,3.19183627610384,-5.2429219066759,1.60280996068229,6.93027162943835,4.4846260849087,5.05334582526655,4.2843036857948,5.10593698394698,3.06096430837654,2.37353670828252,1.18985564163665,1.67772037080395
1.51878394940456,-5.18978914005386,-0.735659161627297,4.34909327957422,1.57073870223007,-5.18902435215529,6.15337706274559,2.70486882600891,-1.08993334173134,-7.15694965554972,-2.46721377637459,9.13311056620103,7.93729155643075,8.20697907221228,5.83620070368526,-2.84520961057081,5.52668982715234,8.1110467707457,3.85017885156229,-3.3854570406327,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068155,8.85165992013435,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.02642045443208,2.40532378079436,-2.51261532081396,2.73115982828946,-2.08032784377811,2.66859037935303,-2.48179244509274,-2.16295212091666
,,,,,,,,,,,-11.6999984849208,-41.8000027447203,-8.79999879416201,5.40000278277397,6.89999841553939,5.86540075090558,3.32107969826872,7.29999998931321,3.30000000199063,5.89999999999988,9.59999999999989,13.2,14.0000000000001,10.4999999999999,13.9,13.2,13.7000000000002,6.89999999999998,-14.1000000000001,2.20000000000017,4.69999999999983,7.20000000000003,3.3,3.60000000000001,3.20000000000005,0.200000000000003,7.49999999999989,5.2,7.59999999999998
,,,,,,,,,,,,,,,,,,,,,,,0.814111261872455,0.538358008075377,-0.401606425702823,-4.16666666666666,1.96353436185133,-2.61348005502063,-4.23728813559322,0.442477876106182,0.293685756240819,-4.39238653001463,-2.75650842266462,0.944881889763778,1.40405616224648,-2.76923076923077,-5.85443037974683,2.18487394957982,
8.16143079697964,3.81491616554095,-0.084012263851804,5.36401627271424,10.1649955948421,7.6437935974254,11.4938285653697,6.62636884664514,5.21327290002557,5.2522746560909,3.01164666223812,2.17687336256473,1.15832626873824,5.28007148779103,6.67619516293692,-4.35949398995461,6.60481808836559,5.471131931738,4.73131371210214,3.70789461849279,6.69174238194239,-4.95407471089256,1.02410086163871,6.05790854956044,5.736460188482,6.41240516399535,12.728507447159,9.25942055972271,-0.03013326815055,-12.1075361856213,-7.57435721754354,-1.9586126283434,3.37286620031864,-0.600876396735046,3.79572761294251,3.82529309880827,5.49778845610642,3.14554360323187,7.38919716232351,4.65040224998366
3.03406821566392,3.3379589496938,3.32840049046553,-2.22045813521454,4.58126949106862,5.24924090486381,4.03724724432439,2.55328541629207,5.74072859859231,3.8647095536645,3.57061742142551,-0.397231658736658,0.41252910915604,4.02940866924268,3.98269524456455,3.8360591178651,3.87861846178214,3.96649664429529,4.57669378261247,5.07358525786199,3.93309702604363,1.93088254446003,4.00137703160961,2.9859404859405,4.05555187381954,3.20416012202685,2.7945833156557,3.84430955287924,3.65791265061549,1.93692176952554,2.06746567730687,2.46278617259068,3.91816177220686,2.58487511083116,2.5331154467595,2.1926400283338,2.77065669252896,2.36761725296472,2.94033358170461,1.89682574004799
